SERIE,GENERO,RANGO_EDAD,RANGO_SALARIAL,CATEGORIA,SEGMENTO_GRUPO_FAMILIAR,SEGMENTO_POBLACIONAL,PIRAMIDE_NUEVA,EMPRESA_FOCO,CIUDAD_AFILIADO,HOTELES,PISCILAGO,DROGUERIA,AGENCIAS,VIVIENDA
3153,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
3203,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
3253,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
3303,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
3353,F,20 a 35 años,Entre 3 y 4 SMLV,PI,EPSILON,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
3403,M,36 a 45 años,Entre 1.5 y 2 SMLV,ZETA,RHO,PI,ETA,EMP_000001,FUSAGASUGA,NO,NO,SI,NO,NO
3453,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
3503,M,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
3553,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
3603,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000001,,NO,NO,SI,NO,NO
3653,F,36 a 45 años,Entre 3 y 4 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
3703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
3753,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
3803,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,EPSILON,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
3853,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
3903,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
3953,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,SOACHA,NO,NO,SI,NO,NO
4003,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
4053,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4103,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000001,,NO,NO,SI,NO,NO
4153,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4203,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4253,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
4303,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
4353,F,20 a 35 años,Entre 1.5 y 2 SMLV,PI,RHO,PI,DELTA,EMP_000001,,NO,NO,SI,NO,NO
4403,M,Mayor de 55 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,PI,LAMBDA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4453,F,36 a 45 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
4503,M,20 a 35 años,Menor al SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
4553,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
4603,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
4653,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4703,F,36 a 45 años,Entre 1.5 y 2 SMLV,PI,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4753,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
4803,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
4853,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,OMEGA,EMP_000001,,NO,NO,SI,NO,NO
4903,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,RHO,PI,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
4953,M,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
5003,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
5053,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,,NO,NO,SI,NO,NO
5103,M,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
5153,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5203,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5253,M,20 a 35 años,Menor al SMLV,SIGMA,RHO,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
5303,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
5353,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
5403,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5453,M,36 a 45 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
5503,M,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,TAU,LAMBDA,EMP_000001,,NO,NO,SI,NO,NO
5553,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
5603,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5653,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
5703,M,20 a 35 años,Entre 1.5 y 2 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
5753,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,SOACHA,NO,NO,SI,NO,NO
5803,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5853,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
5903,M,36 a 45 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
5953,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
6003,M,36 a 45 años,Entre 20 y 30 SMLV,ZETA,LAMBDA,XI,XI,EMP_000002,,NO,NO,SI,NO,NO
6053,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
6103,M,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
6153,F,36 a 45 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,ETA,LAMBDA,EMP_000001,,NO,NO,SI,NO,NO
6203,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
6253,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
6303,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
6353,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,EPSILON,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
6403,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
6453,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
6503,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
6553,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
6603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
6653,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,PSI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
6703,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,IOTA,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
6753,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
6803,M,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
6853,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
6903,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
6953,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,DELTA,EMP_000001,,NO,NO,SI,NO,NO
7003,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
7053,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,CHI,PI,UPSILON,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
7103,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,DELTA,EMP_000001,,NO,NO,SI,NO,NO
7153,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7203,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
7253,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
7303,M,Mayor de 55 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
7353,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,CHI,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7403,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,THETA,TAU,OMICRON,EMP_000001,,NO,NO,SI,NO,NO
7453,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7503,F,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,PSI,EMP_000001,,NO,NO,SI,NO,NO
7553,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,EPSILON,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,SOACHA,NO,NO,SI,NO,NO
7653,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,IOTA,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7703,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,,NO,NO,SI,NO,NO
7753,F,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7803,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000001,SOACHA,NO,NO,SI,NO,NO
7853,M,20 a 35 años,Menor al SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
7903,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
7953,F,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8003,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
8053,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
8103,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8153,F,20 a 35 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
8203,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8253,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
8303,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
8353,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
8403,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8453,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8503,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
8553,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
8603,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
8653,F,Mayor de 55 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
8703,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
8753,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
8803,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,DELTA,EMP_000001,,NO,NO,SI,NO,NO
8853,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
8903,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
8953,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
9003,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,LA CALERA,NO,NO,SI,NO,NO
9053,M,36 a 45 años,Entre 2 y 2.5 SMLV,PI,CHI,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
